system:index,FloodClass,FloodRisk,NDWI,elevation,slope,.geo
1143,1,0.040614035793828135,-0.24156038,11,2.7802885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.1719960757328,24.22890986490011]}"
1144,0,-0.12117579007489582,-0.6572552,8,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.18061990246036,24.22890986490011]}"
1145,1,-0.07676342261965174,-0.56243044,9,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.18196737538653,24.22890986490011]}"
1146,1,0.2129648033126294,-0.0020703934,12,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.18816575084696,24.22890986490011]}"
1147,1,0.12405201428607829,-0.0072815535,13,4.1653605,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.18843524543223,24.22890986490011]}"
1148,0,-0.10342425237422889,-0.5737999,13,1.3762149,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.19652008298925,24.22890986490011]}"
1149,1,-0.03441282775933047,-0.47772926,9,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.19894553425638,24.22890986490011]}"
1150,0,-0.15708890213760957,-0.6990814,13,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20137098552351,24.22890986490011]}"
1151,1,-0.0768262768456771,-0.5325562,14,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20729986639873,24.22890986490011]}"
1152,1,-0.07065680491429355,-0.5166346,14,1.0169755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20756936098394,24.22890986490011]}"
1153,1,-0.059764323474633264,-0.42009622,12,3.185811,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21403723102964,24.22890986490011]}"
1154,0,-0.10103674210499564,-0.41185984,14,5.155341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.2199661119048,24.22890986490011]}"
1155,1,-0.06595194866423001,-0.42350796,15,2.9598987,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.22185257400145,24.22890986490011]}"
1156,1,-0.021567795024559896,-0.2962009,13,4.223367,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.1426211659421,24.22864037031487]}"
1157,0,-0.1723553139056729,-0.67733073,13,2.2344978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.14369914428306,24.22864037031487]}"
1158,1,-0.014099772387887531,-0.35481963,14,2.2344978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15043650891397,24.22864037031487]}"
1159,0,-0.18062947861735573,-0.6046449,15,4.165352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15259246559583,24.22864037031487]}"
1160,0,-0.1644319530746151,-0.716185,12,1.0169734,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.16175528149387,24.22864037031487]}"
1161,1,0.09941531400180842,-0.20407297,10,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.16957062446568,24.22864037031487]}"
1162,1,0.051169352097600325,-0.25307906,10,2.1145558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17010961363616,24.22864037031487]}"
1163,1,0.098134875468005,-0.20068172,8,1.3762132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17361304324425,24.22864037031487]}"
1164,1,0.04665040871950721,-0.213267,11,3.1858046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17496051617042,24.22864037031487]}"
1165,0,-0.18114806964680044,-0.6803617,10,3.0483608,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.18008091328988,24.22864037031487]}"
1166,0,-0.21416897926976564,-0.7201463,10,3.7047918,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.18385383748318,24.22864037031487]}"
1167,0,-0.17070307083519853,-0.7203576,11,1.3762132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.18439282665366,24.22864037031487]}"
1168,1,0.11157913476126854,-0.06540955,14,3.1858046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.18843524543223,24.22864037031487]}"
1169,1,-0.0579493849407859,-0.39246657,16,3.1858046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.19032170752888,24.22864037031487]}"
1170,0,-0.1770603894125928,-0.69874084,11,2.2344978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.19301665338122,24.22864037031487]}"
1171,0,-0.10366186293155272,-0.6066448,10,1.0169734,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.19894553425638,24.22864037031487]}"
1172,0,-0.18531686749878942,-0.70925385,12,2.2344978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20164048010878,24.22864037031487]}"
1173,0,-0.15576448347953453,-0.70485,11,1.0169734,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20190997469399,24.22864037031487]}"
1174,1,-0.0616945028339122,-0.5023405,11,1.3762132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20217946927926,24.22864037031487]}"
1175,0,-0.21527832638617922,-0.73112446,12,3.1858046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20352694220543,24.22864037031487]}"
1176,1,0.003615660876066275,-0.36572015,12,1.3762132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20433542596112,24.22864037031487]}"
1177,0,-0.14027416154116848,-0.5901524,12,2.959898,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.2048744151316,24.22864037031487]}"
1178,0,-0.11966940864638412,-0.58116543,14,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20729986639873,24.22864037031487]}"
1179,0,-0.08872118402503584,-0.51006246,13,2.2344978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20999481225107,24.22864037031487]}"
1180,0,-0.14984622705026712,-0.6870135,12,1.0169734,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21215076893299,24.22864037031487]}"
1181,1,-0.045049459843596144,-0.428719,12,2.2344978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21268975810341,24.22864037031487]}"
1182,1,0.070506109298961,-0.20565553,12,2.0333064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21403723102964,24.22864037031487]}"
1183,1,0.0836853046510429,-0.18045603,13,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.14208217677162,24.228370875729638]}"
1184,1,0.07291999999999998,-0.27616,13,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.14747206847636,24.228370875729638]}"
1185,1,-0.06389649134593395,-0.5246966,11,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15205347642535,24.228370875729638]}"
1186,1,4.811621754109152E-4,-0.32300422,11,2.7508368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15582640061865,24.228370875729638]}"
1187,0,-0.16250428459844024,-0.71591216,12,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.16121629232339,24.228370875729638]}"
1188,0,-0.18333124802405373,-0.74561405,11,1.3762115,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.16552820568717,24.228370875729638]}"
1189,1,0.02399848040661197,-0.3489546,8,1.3762115,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.16822315153951,24.228370875729638]}"
1190,1,0.09633315699383363,-0.20423728,11,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.16957062446568,24.228370875729638]}"
1191,1,0.034979027896575074,-0.24861,9,3.1857984,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17010961363616,24.228370875729638]}"
1192,1,0.08114894114042581,-0.18832237,10,2.2344937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17388253782946,24.228370875729638]}"
1193,1,0.02349198931457585,-0.33796757,10,1.3762115,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17415203241472,24.228370875729638]}"
1194,1,-0.004530192426166688,-0.3584782,11,2.114555,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17442152699994,24.228370875729638]}"
1195,1,0.0581703205558765,-0.2686109,10,1.3762115,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17523001075563,24.228370875729638]}"
1196,0,-0.15989618655213425,-0.7227439,7,1.3762115,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.18088939704558,24.228370875729638]}"
1197,0,-0.17978702016293258,-0.724242,9,2.0333018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.18358434289797,24.228370875729638]}"
1198,1,0.25511961428350716,0.18641259,17,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.1897827183584,24.228370875729638]}"
1199,0,-0.12377631680510946,-0.60897046,9,2.114555,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.1935556425517,24.228370875729638]}"
1200,0,-0.1595092856868895,-0.66843635,11,2.114555,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.19517261006308,24.228370875729638]}"
1201,1,-0.06418086692814423,-0.47898197,10,2.2344937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.19948452342686,24.228370875729638]}"
1202,0,-0.10849115618405566,-0.5768089,11,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20460492054633,24.228370875729638]}"
1203,0,-0.09755925332117735,-0.57407004,11,1.3762115,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.2048744151316,24.228370875729638]}"
1204,0,-0.11610142941148371,-0.57082313,12,2.2344937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20514390971681,24.228370875729638]}"
1205,0,-0.19259690601431573,-0.7286116,12,2.114555,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20703037181346,24.228370875729638]}"
1206,0,-0.13451421188630494,-0.6970284,12,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21188127434772,24.228370875729638]}"
1207,1,-0.023707289847460674,-0.44431818,11,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.2124202635182,24.228370875729638]}"
